,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
99,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(13.0, 18.0, 6)","(23.194827009486403, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)","(0.0, 41.0, 10)","(26.30589287593181, 17.5, 11)","(17.11724276862369, 7.0, 12)","(0.0, 22.0, 13)","(0.0, 31.5, 14)","(0.0, 52.5, 15)","(17.46424919657298, 23.5, 16)","(0.0, 6.5, 17)","(0.0, 16.0, 18)","(0.0, 40.5, 19)"
100,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
101,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
102,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(20.8806130178211, 33.5, 7)","(0.0, 53.0, 8)","(7.0, 30.0, 9)","(0.0, 41.0, 10)","(0.0, 17.5, 11)","(0.0, 7.0, 12)",,,,,,,
103,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
104,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
105,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
106,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(15.556349186104045, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(13.0, 30.0, 9)","(0.0, 41.0, 10)","(0.0, 17.5, 11)","(0.0, 7.0, 12)",,,,,,,
107,"(11.313708498984761, 8.5, 4)","(0.0, 50.5, 5)","(7.810249675906654, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(19.1049731745428, 30.0, 9)","(0.0, 41.0, 10)","(19.313207915827967, 17.5, 11)","(0.0, 7.0, 12)","(0.0, 22.0, 13)","(0.0, 31.5, 14)",,,,,
108,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
109,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
110,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
111,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
112,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
113,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
114,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
115,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
116,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(22.47220505424423, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,
117,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
118,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)","(2.23606797749979, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)","(0.0, 41.0, 10)",,,,,,,,,
119,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
